Abdominal Cramps,Stomach,"72,95,190,304,",XTRA
Abdominal Inflammation,Stomach,"2720,2489,2170,1865,1800,1600,1550,880,832,802,787,776,727,660,465,450,444,440,428,380,146,125,95,72,20,1.2,",CAFL
Abdominal Pain,Stomach,"10000,3000,95,3,3040,522,440,160,124,26,",CAFL
Abdominal Pain,Stomach,"5000,10000,",XTRA
Abscess Nocardia Asteroides,Respiratory,"228,231,237,694,710,887,2890,11092.19,11096.87,17679.38,",XTRA
Abscesses 2,Skin,"2720,2170,1865,1550,880,802,787,727,500,444,190,",XTRA
Abscesses 3,Skin,"2720,2170,1865,1550,880,802,787,760,727,690,660,500,465,450,444,428,190,",XTRA
Abscesses Secondary,Skin,"1550,802,760,660,465,450,444,428,",CAFL
Abscesses,Skin,"2720,2170,880,787,727,500,200,190,",CAFL
Absentmindedness,Brain,"5.8,",CAFL
Accelerate Healing,,"7.83,",XTRA
Accelerate Injury Healing,,"47,",XTRA
Accelerate Learning,,"6.3,",XTRA
Accelerate Scar Healing,,"5.9,",XTRA
Acidosis,Blood Tissue,"10000,880,802,787,776,727,146,20,",CAFL
Acne 1,Skin,"2720,2170,1800,1600,1550,1552,1500,802,880,787,727,778,760,741,660,465,450,444,428,",CAFL
Acne 2,Skin,"760,465,444,450,428,660,",CAFL
Acne Vulgaris Junior,Skin,"514,832,185,",XTRA
Acne Vulgaris,Skin,"564,",CAFL
Acne,Skin,"727,787,880,5000,",XTRA
Acne,Skin,"50,370,830,2500,3000,73300,383750,387000,389000,393000,",XTRA
Aconite,Immune System,"3347,5611,2791,",CAFL
Acrocephalosyndactylia,Bone Tissue,"140,1220,2620,12720,125780,158330,351300,532410,613320,709800,",XTRA
Acromegaly,Bone Tissue,"80,420,770,7910,31210,122740,255610,371330,742800,955200,",XTRA
Actinobacillus,Respiratory,"488,565,672,674,678,766,768,777,885,887,7877,9687,42664,42666,46668,46787,773,776,778,822,",CAFL
Actinobacillus,Respiratory,"773,",VEGA
Actinomyces Bovis,,"1.10,20,73,160,220,465,660,690,727.5,787,10000,",XTRA
Actinomyces Israelii 1,,"46.5,727,766,776,787,802,880,1550,1600,1800,2489,2720,",XTRA
Actinomyces Israelii 2,,"20,23,222,262,465,488,567,727,747,787,2154,7880,10000,",XTRA
Actinomyces Israelii,,"222,262,2154,",BIO
Actinomycosis 1,,"1.1,20,23,73,160,220,222,262,465,488,567,660,690,727.5,787,2154,7880,10000,12000,",XTRA
Actinomycosis 2,,"20,157,192,222,228,231,237,262,465,488,567,678,727,747,784,787,887,2154,2890,7870,7880,10000,12000,",XTRA
Actinomycosis Streptothrix MOR,,"784,1607,7870,11659.62,12000,21093.75,21187.5,",XTRA
Actinomycosis,Mouth,"20,465,727,787,880,10000,",CAFL
Activity Increase,,"144.72,",XTRA
Acupuncture Disturbance Field,,"5.9,18,",CAFL
Acute Pain,,"3000,95,1550,802,880,787,727,690,666,26,160,333,522,555.1,",CAFL
Addiction Drugs 1,,"5,333,353,",XTRA
Addiction Drugs 2,,"20,727,787,880,5000,",XTRA
Addiction,,"4,7,8,",XTRA
Addictions Alcohol General,,"230,290,440,1500,2300,3300,83350,184000,283000,303400,",XTRA
Addictions Drug General,,"280,350,470,1880,4340,5200,43420,143040,234040,343450,",XTRA
Addison's Disease,,"190,750,900,7500,27500,222700,425710,563190,642910,978050,",KHZ
Adeno-associated Virus,,"950.6,958.79,959.6,960.39,967.6,969.29,",XTRA
Adenoids,Nose,"1550,802,880,787,776,727,444,20,428,660,2720,2170,1.57,2,14,333,444,588,780,806.5,810,",CAFL
Adenoma BasalCell,Cancer,"40,5810,22500,52500,92500,434000,527000,667000,721000,987230,",XTRA
Adenoma Beta-Cell,,"40,320,700,870,5250,32500,60000,125680,225650,275680,",XTRA
Adenoma Cervical,Uterus,"433,",CAFL
Adenoma Microcystic,,"40,5810,22500,52500,92500,432500,527000,667000,721000,987230,",XTRA
Adenoma,,"40,5810,22500,52500,92500,224370,527000,667000,721000,987230,",KHZ
Adenomatous Polyposis Coli(APC),DNA,"40,250,500,2500,322060,422530,561930,709830,842500,985900,",KHZ
Adenomyosis,Uterus,"30,250,730,3720,7500,35510,62580,125350,672910,924370,",XTRA
Adenoviridae Infections,,"180,520,800,37500,93200,150000,275000,509350,755000,866150,",KHZ
Adenovirus 2nd,,"920.73,929.52,959.02,11607.8,11718.75,12090.62,",XTRA
Adenovirus 1,,"333,523,786,",BIO
Adenovirus Lungs Stomach Intestines,,"333,523,786,768,959,962,666,",CAFL
Adenovirus 2,,"333,786,",VEGA
Adhesions Pelvic,,"20,2500,35160,67500,90000,355080,419340,567700,707260,930120,",KHZ
Adhesions,,"2720,2170,1550,802,880,787,776,760,727,190,",CAFL
Adhesive Capsulitis,Shoulder,"60,230,20000,68250,125750,158300,357300,532410,653690,759830,",XTRA
Adiadochokinesis,,"70,830,10890,2500,52500,87500,103500,214350,552590,719680,",XTRA
Adie Syndrome,Nerve Eye,"170,460,10850,55160,96500,350000,567000,692330,810200,982110,",KHZ
Adiposis Dolorosa,,"160,970,27500,110250,325000,476500,527000,665340,749000,985670,",KHZ
Adnexitis 1,Ovary,"440,441,522,572,3343,3833,5312,",CAFL
Adnexitis 2,Ovary,"522,572,3343,3833,5312,440,441,",VEGA
Adnexitis 3,Ovary,"40,460,33010,72500,117590,231900,509020,645440,798720,915000,",XTRA
Adrenal Function Normalize,Adrenals,"1335,",XTRA
Adrenal Gland Balance,Adrenals,"20,537,1335,2250,10000,12000,",XTRA
Adrenal Gland Diseases,Adrenals,"70,5500,73300,134250,357300,454370,519680,689410,712230,993410,",KHZ
